run,step,n_gen,fid,jsd
20250708-031511,57999,4,1.6732272529282792,0.681394365534642
20250708-031511,58999,4,1.73617832468775,0.6810178284410657
20250708-031511,59999,4,1.761796077382527,0.6783996757578821
20250708-031511,60999,4,1.8640795242898005,0.674154969754664
20250708-031511,61999,4,2.0311214700334923,0.6734414034928944
20250708-031511,62999,4,1.9607572170246164,0.6808595605699598
20250708-031511,63999,4,1.9298993325529716,0.6667252971611015
20250708-031511,64999,4,1.7418248314107245,0.6810178284410657
20250708-031511,65999,4,1.8585318864912257,0.6724539514570862
20250708-031511,66999,4,1.863405823992182,0.681756087135962
20250708-031511,67999,4,1.9164928646287342,0.6699930838200132
20250708-031511,68999,4,1.8224567143267216,0.6788539245059443
20250708-031511,69999,4,2.016991900821004,0.6731952386419675
20250708-031511,70999,4,2.0784040645713775,0.6793335870805648
20250708-031511,71999,4,1.8405283547711462,0.6859969538750739
20250708-031511,72999,4,1.9009955077662661,0.6793820581758845
20250708-031511,73999,4,1.7943586679723378,0.6831509235408508
20250708-031511,74999,4,1.8688909178317403,0.6775362696782669
20250708-031511,75999,4,1.882741338268159,0.6754332984096478
20250708-031511,76999,4,1.7803121221757805,0.6767113748014829
20250708-031511,77999,4,1.849201476959327,0.6817523706470572
20250708-031511,78999,4,1.938760027449103,0.6727852851779603
20250708-031511,79999,4,1.7395568655732188,0.6765426074390362
20250708-031511,80999,4,1.976162492503855,0.6774539494972946
20250708-031511,81999,4,1.816396187216343,0.6824686562474453
20250708-031511,82999,4,1.7811051073798652,0.6704341760194391
20250708-031511,83999,4,1.7548153977862644,0.6655452762991683
20250708-031511,84999,4,1.9567961971842254,0.6729466605524135
20250708-031511,85999,4,1.8590049042112458,0.6764043476749966
20250708-031511,86999,4,1.9611271774637287,0.679297368957214
20250708-031511,87999,4,1.8175809958109248,0.6889844554576356
20250708-031511,88999,4,1.9186811689330843,0.675935510219885
20250708-031511,89999,4,1.931276644335064,0.6836891892158061
20250708-031511,90999,4,1.9254172788277728,0.678776629364604
20250708-031511,91999,4,1.862143655199514,0.6717156927621899
20250708-031511,92999,4,1.787802618814384,0.6881560601848202
20250708-031511,93999,4,1.8122096274918245,0.6763469548112497
20250708-031511,94999,4,1.8729408519682869,0.6844661481139469
20250708-031511,95999,4,1.8857346088146776,0.6774606385945481
20250708-031511,96999,4,2.004625995866401,0.680287370848597
20250708-031511,97999,4,1.8425690208184191,0.6814449860882867
20250708-031511,98999,4,2.014881351490248,0.6643769062832303
20250708-031511,99999,4,1.8291585335782607,0.6775865124904683
20250708-031511,100999,4,1.7566550984622686,0.6760280373666272
20250708-031511,101999,4,1.9453164641128435,0.6752184383796213
20250708-031511,102999,4,1.8143286332258153,0.6766770668157054
20250708-031511,103999,4,1.8630213499615538,0.6689654597320742
20250708-031511,104999,4,1.872163271523593,0.6736033878529051
20250708-031511,105999,4,1.9423101462716266,0.6711000785060581
20250708-031511,106999,4,1.9107045783213803,0.6820868476941997
20250708-031511,107999,4,1.910477927854011,0.67668078330461
20250708-031511,108999,4,1.8284922359172193,0.6716486045866197
20250708-031511,109999,4,1.7697711435126733,0.685816393350737
20250708-031511,110999,4,1.8135070096105634,0.6878645057708829
20250708-031511,111999,4,1.9311410106697284,0.679506670443927
20250708-031511,112999,4,1.958808689866413,0.680287370848597
20250708-031511,113999,4,1.8912555153377255,0.6788992389535629
20250708-031511,114999,4,1.7649652224101195,0.6838313389136581
20250708-031511,115999,4,1.9860958933687174,0.6751548098152149
20250708-031511,116999,4,1.7716866832165923,0.682121106638206
20250708-031511,117999,4,1.9371963971473911,0.6736860935278501
20250708-031511,118999,4,1.6983629428785258,0.6811487481871084
20250708-031511,119999,4,1.9523289109953323,0.6810178284410658
20250708-031511,120999,4,1.8890994972551376,0.6806490924499171
20250708-031511,121999,4,1.7411141988242052,0.6832083053604174
20250708-031511,122999,4,1.967826813377031,0.687826840217946
20250708-031511,123999,4,1.7228229624930789,0.6789651074944334
20250708-031511,124999,4,2.0071637386295307,0.6751548098152149
20250708-031511,125999,4,1.985791586327733,0.67668078330461
20250708-031511,126999,4,1.7929696706104798,0.6700981304175404
20250708-031511,127999,4,1.76979412714131,0.677051707525786
20250708-031511,128999,4,1.991373225850265,0.6805809611567304
20250708-031511,129999,4,1.8436969836945687,0.6778648707931997
20250708-031511,130999,4,1.7526861290126068,0.6770425049059299
20250708-031511,131999,4,1.8202314706528364,0.6797525658839147
20250708-031511,132999,4,1.8711531002558939,0.6767086764125696
20250708-031511,133999,4,1.8001071510024504,0.6766807833046101
20250708-031511,134999,4,1.8714194151160828,0.6696032785767319
20250708-031511,135999,4,1.883336667968974,0.6715120429195796
20250708-031511,136999,4,1.9011218591449168,0.6755189372798773
20250708-031511,137999,4,1.9140916551957348,0.6728729302604362
20250708-031511,138999,4,1.8292647842788154,0.6743416465478012
20250708-031511,139999,4,1.825358544105017,0.6718493457531551
20250708-031511,140999,4,1.8709079777678626,0.6785647619064205
20250708-031511,141999,4,1.711205574085926,0.6758607084518535
20250708-031511,142999,4,1.8068629127128932,0.6807262740271285
20250708-031511,143999,4,1.9771556401429498,0.6797023230717135
20250708-031511,144999,4,1.7835531316484392,0.6719278266264912
20250708-031511,145999,4,1.8402709580394399,0.6753531880870999
20250708-031511,146999,4,1.7199162202826224,0.6814774877227325
20250708-031511,147999,4,2.1328447707094718,0.671484798365402
20250708-031511,148999,4,1.8066990298969905,0.676688781821597
20250708-031511,149999,4,1.793588124759101,0.6829887853394413
20250708-031511,150999,4,1.977100915710638,0.6782320218957908
20250708-031511,151999,4,1.822681327571625,0.675935510219885
20250708-031511,152999,4,1.864810839108099,0.6805198719257222
20250708-031511,153999,4,1.9448282426331465,0.6827823431093772
20250708-031511,154999,4,1.8499124551198403,0.6782898789820957
20250708-031511,155999,4,1.8222461573656474,0.6827119067981906
20250708-031511,156999,4,1.87641047211681,0.6802873708485971
20250708-031511,157999,4,1.8330788612738949,0.6856461822280195
20250708-031511,158999,4,1.6324864515183122,0.675843453490097
20250708-031511,159999,4,1.9434519338191694,0.677202922235361
20250708-031511,160999,4,1.9780030496310974,0.6759355102198852
20250708-031511,161999,4,1.8842592652538281,0.6770387884170251
20250708-031511,162999,4,1.668248334836313,0.6861079477646741
20250708-031511,163999,4,1.7796674801376438,0.6805809611567304
20250708-031511,164999,4,1.887582857843416,0.6679919501571446
20250708-031511,165999,4,2.0993017151619666,0.6670777646413593
20250708-031511,166999,4,1.9106822557730574,0.6751548098152149
20250708-031511,167999,4,1.8872418617993643,0.6744377379749511
20250708-031511,168999,4,1.7229153631315803,0.6760605390010732
20250708-031511,169999,4,1.7997528282755828,0.6811028111207049
20250708-031511,170999,4,2.007839445581642,0.6822657384029531
20250708-031511,171999,4,1.6340073700157014,0.6844661481139469
20250708-031511,172999,4,1.7384663801188789,0.6761210466823915
20250708-031511,173999,4,1.8645290207414023,0.6814094156173729
20250708-031511,174999,4,1.8325324715452367,0.6671505479312623
20250708-031511,175999,4,1.821796747923354,0.6720922298557661
20250708-031511,176999,4,1.7110833148493052,0.6861079477646741
20250708-031511,177999,4,1.9013828417485132,0.673646096453121
20250708-031511,178999,4,1.7092677552550408,0.6738040707432945
20250708-031511,179999,4,1.8645061077394227,0.6809235001201396
20250708-031511,180999,4,1.9262169338678181,0.6697938550048899
20250708-031511,181999,4,2.056302967411802,0.67083185923998
20250708-031511,182999,4,2.032783577835796,0.6702305701888829
20250708-031511,183999,4,1.9585813297551207,0.67654259465436
20250708-031511,184999,4,1.8646533088380433,0.6727975248284966
20250708-031511,185999,4,1.7205336882620634,0.6885572978104149
20250708-031511,186999,4,1.8443233183378456,0.6836041066216106
20250708-031511,187999,4,1.846621126184874,0.6675320133894214
20250708-031511,188999,4,1.9741323595251,0.6637935242506054
20250708-031511,189999,4,2.07234602395542,0.6782898789820957
20250708-031511,190999,4,1.8774689618723985,0.6785647619064203
20250708-031511,191999,4,1.9230530759748652,0.6775463325813877
20250708-031511,192999,4,2.040487098519544,0.6833089106157004
20250708-031511,193999,4,1.854118503444772,0.6786516005834156
20250708-031511,194999,4,1.9333357605023478,0.6703236301237985
20250708-031511,195999,4,1.828843378428338,0.6721680656914732
20250708-031511,196999,4,1.906389045921968,0.6755257340363909
20250708-031511,197999,4,1.8499858432458158,0.6782207916855932
20250708-031511,198999,4,1.870433990530717,0.6771881673060596
20250708-031511,199999,4,1.8102384923258499,0.6713398664335952
